"","loss","accuracy","data","unit","layer_num","activation","drop_out_rate","batch_size"
"33",0.343075573444366,0.927286386489868,"train",25,3,"sigmoid",NA,NA
"34",0.479739874601364,0.878757536411285,"test",25,3,"sigmoid",NA,NA
"35",0.780132651329041,0.928535759449005,"train",25,3,"relu",NA,NA
"36",0.98634135723114,0.876753509044647,"test",25,3,"relu",NA,NA
"37",0.39654266834259,0.929785132408142,"train",50,3,"sigmoid",NA,NA
"38",0.529565870761871,0.887775540351868,"test",50,3,"sigmoid",NA,NA
"39",0.848487079143524,0.928785622119904,"train",50,3,"relu",NA,NA
"40",0.893805801868439,0.900801599025726,"test",50,3,"relu",NA,NA
"41",0.450855314731598,0.930534720420837,"train",100,3,"sigmoid",NA,NA
"42",0.53704047203064,0.901803612709045,"test",100,3,"sigmoid",NA,NA
"43",0.787583708763123,0.931534230709076,"train",100,3,"relu",NA,NA
"44",0.863301813602448,0.907815635204315,"test",100,3,"relu",NA,NA
"45",0.555112600326538,0.93328332901001,"train",200,3,"sigmoid",NA,NA
"46",0.657642185688019,0.899799585342407,"test",200,3,"sigmoid",NA,NA
"47",0.780137300491333,0.928035974502563,"train",200,3,"relu",NA,NA
"48",0.811591148376465,0.905811607837677,"test",200,3,"relu",NA,NA
"49",0.609426140785217,0.932033956050873,"train",300,3,"sigmoid",NA,NA
"50",0.701763927936554,0.904809594154358,"test",300,3,"sigmoid",NA,NA
"51",0.827540695667267,0.931284368038177,"train",300,3,"relu",NA,NA
"52",0.860227882862091,0.908817648887634,"test",300,3,"relu",NA,NA
"53",0.634850382804871,0.932033956050873,"train",400,3,"sigmoid",NA,NA
"54",0.746348261833191,0.899799585342407,"test",400,3,"sigmoid",NA,NA
"55",0.791443169116974,0.930784583091736,"train",400,3,"relu",NA,NA
"56",0.792708098888397,0.910821616649628,"test",400,3,"relu",NA,NA
"57",0.503467202186584,0.871064484119415,"train",10,4,"sigmoid",NA,NA
"58",0.693746268749237,0.818637251853943,"test",10,4,"sigmoid",NA,NA
"59",0.687726616859436,0.922288835048676,"train",10,4,"relu",NA,NA
"60",1.06923925876617,0.835671365261078,"test",10,4,"relu",NA,NA
"61",0.314279347658157,0.923538208007812,"train",25,4,"sigmoid",NA,NA
"62",0.490003615617752,0.892785549163818,"test",25,4,"sigmoid",NA,NA
"63",0.963168621063232,0.929535210132599,"train",25,4,"relu",NA,NA
"64",1.22323322296143,0.884769558906555,"test",25,4,"relu",NA,NA
"65",0.362850099802017,0.937531232833862,"train",50,4,"sigmoid",NA,NA
"66",0.514973938465118,0.899799585342407,"test",50,4,"sigmoid",NA,NA
"67",0.70790433883667,0.93328332901001,"train",50,4,"relu",NA,NA
"68",0.868933498859406,0.907815635204315,"test",50,4,"relu",NA,NA
"69",0.365123599767685,0.944527745246887,"train",100,4,"sigmoid",NA,NA
"70",0.49182066321373,0.901803612709045,"test",100,4,"sigmoid",NA,NA
"71",0.740577101707458,0.933783113956451,"train",100,4,"relu",NA,NA
"72",0.78154045343399,0.915831685066223,"test",100,4,"relu",NA,NA
"73",0.521785080432892,0.936281859874725,"train",200,4,"sigmoid",NA,NA
"74",0.709256708621979,0.901803612709045,"test",200,4,"sigmoid",NA,NA
"75",0.847410619258881,0.936781585216522,"train",200,4,"relu",NA,NA
"76",0.929969668388367,0.915831685066223,"test",200,4,"relu",NA,NA
"77",0.581315577030182,0.932283878326416,"train",300,4,"sigmoid",NA,NA
"78",0.751173555850983,0.899799585342407,"test",300,4,"sigmoid",NA,NA
"79",0.725279569625854,0.938780605792999,"train",300,4,"relu",NA,NA
"80",0.754810035228729,0.925851702690125,"test",300,4,"relu",NA,NA
"81",0.533858478069305,0.938030958175659,"train",400,4,"sigmoid",NA,NA
"82",0.698283672332764,0.906813621520996,"test",400,4,"sigmoid",NA,NA
"83",0.66999876499176,0.937781095504761,"train",400,4,"relu",NA,NA
"84",0.731182277202606,0.921843707561493,"test",400,4,"relu",NA,NA
"85",0.474056273698807,0.864317834377289,"train",10,2,"sigmoid",0.1,NA
"86",0.537340939044952,0.842685341835022,"test",10,2,"sigmoid",0.1,NA
"87",0.535138547420502,0.857071459293365,"train",10,2,"sigmoid",0.2,NA
"88",0.55999881029129,0.842685341835022,"test",10,2,"sigmoid",0.2,NA
"89",0.546259462833405,0.852073967456818,"train",10,2,"sigmoid",0.3,NA
"90",0.566552937030792,0.846693396568298,"test",10,2,"sigmoid",0.3,NA
"91",0.707564651966095,0.889055490493774,"train",10,2,"relu",0.1,NA
"92",0.757939994335175,0.845691382884979,"test",10,2,"relu",0.1,NA
"93",0.511105954647064,0.876061975955963,"train",10,2,"relu",0.2,NA
