"","word","spaced_word"
"257","학교가야","학교가야"
"258","추켜들고","추켜들고"
"259","진격해간다총대를","진격해간다 총대를"
"260","돌격해간다일심","돌격해간다 일심"
"261","이끌고가는그","이끌고 가는 그"
"262","선군기치다공격","선군기치다 공격"
"263","공격앞으로장군님","공격 앞으로 장군님"
"264","혁명방식은백두산번개처럼","혁명 방식은 백두산 번개처럼"
"265","공격정일봉우뢰처럼","공격정일 봉 우뢰처럼"
"266","공격공격","공격 공격"
"267","질투나고복잡한","질투나 고복잡한"
"268","본능적이다보니","본능적이다 보니"
"269","이런거를","이런 거를"
"270","조울증이거든","조울증이거든"
"271","만난앤데","만난 앤데"
"272","교회끝나면","교회 끝나면"
"273","바쁘니깐","바쁘니깐"
"274","안냈는데","안 냈는데"
"275","한국갈때마다","한국갈 때마다"
"276","애쓰는거","애쓰는 거"
"277","서운했어그랬다가","서운했어 그랬다가"
"278","몇년지나서","몇 년 지나서"
"279","조울증이라는걸","조울증이라는 걸"
"280","가까웠으니깐","가까웠으니깐"
"281","하기싫은건","하기 싫은 건"
"282","그러니깐","그러니깐"
"283","서운함때문에","서운함 때문에"
"284","올까봐도","올까봐도"
"285","무섭고친구랑","무섭고 친구랑"
"286","카톡으로","카톡으로"
"287","못찾겠다는","못 찾겠다는"
"288","올렷는데","올렷는데"
"289","노력들이","노력들이"
"290","잘될거라는걸","잘 될 거라는 걸"
"291","이럴바엔","이럴 바엔"
"292","조울증이면","조울증이면"
"293","우울증세","우울증세"
"294","중에혼자","중에 혼자"
"295","글써봐요저","글써봐 요저"
"296","피하는거","피하는 거"
"297","아니에요제가","아니에요 제가"
"298","어색한상황이","어색한 상황이"
"299","해야할것들이있어서","해야 할 것들이 있어서"
"300","그상황을","그 상황을"
"301","기피하는거에요","기피하는 거에요"
"302","낙태할라다","낙태할라다"
"303","그러는데도대체","그러는데도대체"
"304","왜그러는지도","왜 그러는지도"
"305","무슨반응을","무슨 반응을"
"306","모르겠음그래놓고","모르겠음 그래놓고"
"307","징징징대는데아니","징징징대는 데 아니"
"308","아니잖아뭐","아니잖아뭐"
"309","어쩌란거지","어쩌란 거지"
"310","안나온다","안 나온다"
"311","열심히하는데","열심히 하는 데"
"312","듣거든근데","듣거든 근데"
"313","3040대","3040대"
"314","별로야나도","별로 야나도"
"315","싫어대학생","싫어 대학생"
"316","빌려입은","빌려 입은"
"317","싫어이런","싫어 이런"
"318","생각했는데내","생각했는데 내"
"319","아닌가봐온몸이","아닌가 봐온 몸이"
"320","싶다시간","싶다시간"
"321","이런거야나도","이런 거야나도"
"322","모르는새에","모르는 새에"
"323","맞는거야그냥요즘","맞는 거야 그냥 요즘"
"324","때리다보면","때리다 보면"
"325","난여자고","난 여자고"
"326","남녀노소","남녀노소"
"327","들어너무","들어 너무"
"328","없어근데","없어 근데"
"329","귀엽다는게","귀엽다는 게"
"330","귀엽다일까봐","귀엽다일까봐"
"331","싶기도하고","싶기도 하고"
"332","와도대체","와도대체"
"333","귀엽다는거지귀엽다는게","귀엽다는 거지 귀엽다는 게"
"334","다른의미로도","다른 의미로도"
"335","그럴수있","그럴 수 있"
"336","환불원정대","환불 원정대"
"337","유재석이","유재석이"
"338","빵댕이랑","빵댕이랑"
"339","영상보고","영상 보고"
"340","빵댕이는","빵댕이는"
"341","궁금해서","궁금해서"
"342","힙업운동이랑","힙업운동이랑"
"343","이것저것","이것저것"
